boro_cd,total_complaints,cell_count,top_1pct_share,top_10_share,hotspot_count,gini_coefficient,max_cell_count,max_cell_share,n_repeat_location_dominant,n_suspected_artifact,cd_label,cd_short
101,2971,52,0.0,0.5038707505890273,42,0.5070618543354997,306,0.10299562436889936,5,5,Manhattan Community District 1,MN 1
102,5908,54,0.06398104265402843,0.37745429925524715,53,0.3354459740715665,378,0.06398104265402843,0,0,Manhattan Community District 2,MN 2
103,10072,68,0.16560762509928514,0.3334988085782367,67,0.3777069803298603,504,0.05003971405877681,0,0,Manhattan Community District 3,MN 3
104,8685,70,0.1993091537132988,0.3890616004605642,63,0.47856073690270584,511,0.058837075417386295,3,3,Manhattan Community District 4,MN 4
105,4517,65,0.0,0.33783484613681647,62,0.3853136016076022,214,0.047376577374363515,0,0,Manhattan Community District 5,MN 5
106,5962,55,0.24354243542435425,0.45186179134518617,54,0.44028544417675586,552,0.09258638040925864,0,0,Manhattan Community District 6,MN 6
107,12717,75,0.41000235904694504,0.4929621766139813,71,0.5442939896726167,1453,0.11425650703782339,3,3,Manhattan Community District 7,MN 7
108,7333,79,0.18723578344470204,0.38456293467884906,73,0.4751815531315864,535,0.07295786172098732,3,3,Manhattan Community District 8,MN 8
109,8796,58,0.4257617098681219,0.6242610277398818,54,0.6441681955747911,1524,0.17326057298772168,0,0,Manhattan Community District 9,MN 9
110,12004,60,0.45834721759413527,0.5351549483505498,59,0.5215705875819172,1721,0.14336887704098633,1,1,Manhattan Community District 10,MN 10
111,7931,78,0.2192661707224814,0.41495397806077416,67,0.5107691661089719,840,0.1059135039717564,10,9,Manhattan Community District 11,MN 11
112,16063,96,0.39426010085289176,0.3259665068791633,86,0.495292623835315,919,0.05721222685675154,3,3,Manhattan Community District 12,MN 12
201,5871,84,0.16811446090955545,0.4452393118719128,71,0.5484240536616622,987,0.16811446090955545,5,4,Bronx Community District 1,BX 1
202,2442,61,0.0,0.5077805077805078,38,0.5769122326499376,209,0.08558558558558559,8,8,Bronx Community District 2,BX 2
203,7880,66,0.37969543147208124,0.6088832487309644,60,0.6391978157206584,2211,0.2805837563451777,3,1,Bronx Community District 3,BX 3
204,10052,79,0.11211699164345404,0.33774373259052926,72,0.4429699738574602,766,0.07620374054914444,3,3,Bronx Community District 4,BX 4
205,10478,55,0.3756442069097156,0.43796526054590573,55,0.4294053341199744,728,0.06947890818858561,0,0,Bronx Community District 5,BX 5
206,5585,57,0.0,0.40465532676812893,53,0.41464448946897225,337,0.0603401969561325,0,0,Bronx Community District 6,BX 6
207,9008,80,0.14820159857904086,0.3747779751332149,73,0.4675566163410303,777,0.08625666074600355,3,2,Bronx Community District 7,BX 7
208,4643,108,0.09778160671979323,0.39801852250699976,71,0.6193333652411834,454,0.09778160671979323,18,17,Bronx Community District 8,BX 8
209,6995,160,0.0673338098641887,0.30879199428162973,129,0.5480780914939241,471,0.0673338098641887,10,9,Bronx Community District 9,BX 9
210,2891,204,0.0,0.25907990314769974,89,0.5682900278755569,151,0.05223106191629194,38,35,Bronx Community District 10,BX 10
211,3568,136,0.0,0.3032511210762332,81,0.5671862635188605,200,0.05605381165919283,9,9,Bronx Community District 11,BX 11
212,41448,207,0.8667245705462266,0.8964485620536576,146,0.9296260397755829,31207,0.7529193205944799,16,15,Bronx Community District 12,BX 12
301,9806,172,0.051091168672241484,0.20936161533754843,138,0.4860040601625013,501,0.051091168672241484,11,10,Brooklyn Community District 1,BK 1
302,8805,108,0.2370244179443498,0.45315161839863716,97,0.5754632258607273,2087,0.2370244179443498,3,2,Brooklyn Community District 2,BK 2
