boro_cd,rank_mean,rank_min,rank_max,rank_range,rank_std
101,27.333333333333332,24,31,7,3.511884584284246
102,6.666666666666667,4,10,6,3.0550504633038935
103,11.333333333333334,10,14,4,2.3094010767585034
104,4.0,3,6,3,1.7320508075688772
105,2.0,1,4,3,1.7320508075688772
106,13.666666666666666,4,30,26,14.224392195567912
107,24.0,17,29,12,6.244997998398398
108,31.333333333333332,27,36,9,4.509249752822894
109,15.333333333333334,8,20,12,6.429100507328636
110,21.666666666666668,2,35,33,17.3877351409933
111,18.333333333333332,17,21,4,2.309401076758503
112,19.666666666666668,5,30,25,13.051181300301263
201,11.666666666666666,8,18,10,5.507570547286102
202,19.0,13,29,16,8.717797887081348
203,10.666666666666666,3,16,13,6.8068592855540455
204,8.0,5,12,7,3.605551275463989
205,15.666666666666666,7,21,14,7.571877794400365
206,12.0,11,13,2,1.0
207,25.333333333333332,15,32,17,9.073771725877467
208,42.666666666666664,26,55,29,14.977761292440647
209,24.666666666666668,19,32,13,6.658328118479393
210,44.666666666666664,40,49,9,4.509249752822894
211,37.333333333333336,34,43,9,4.932882862316248
212,10.666666666666666,1,23,22,11.239810200058244
301,11.666666666666666,5,24,19,10.692676621563626
302,11.666666666666666,9,14,5,2.5166114784235836
303,34.0,27,39,12,6.244997998398398
304,26.333333333333332,16,33,17,9.073771725877467
305,41.333333333333336,39,43,4,2.081665999466132
306,22.333333333333332,22,23,1,0.5773502691896255
307,34.333333333333336,26,44,18,9.073771725877467
308,21.333333333333332,11,28,17,9.073771725877467
309,40.333333333333336,25,50,25,13.428824718989123
310,41.333333333333336,37,47,10,5.131601439446884
311,49.333333333333336,45,53,8,4.041451884327381
312,49.666666666666664,44,54,10,5.131601439446884
313,49.666666666666664,48,52,4,2.0816659994661335
314,40.0,37,42,5,2.6457513110645907
315,52.0,51,53,2,1.0
316,20.333333333333332,11,34,23,12.096831541082704
317,46.666666666666664,38,53,15,7.767453465154029
318,55.666666666666664,55,56,1,0.5773502691896263
401,20.0,18,22,4,2.0
402,10.666666666666666,2,28,26,15.01110699893027
403,23.666666666666668,15,35,20,10.263202878893768
404,21.666666666666668,9,42,33,17.7857620959388
405,37.0,31,46,15,7.937253933193772
406,32.333333333333336,25,40,15,7.505553499465135
407,36.0,33,38,5,2.6457513110645907
408,34.666666666666664,19,46,27,14.011899704655802
409,39.666666666666664,36,45,9,4.725815626252608
410,36.0,20,47,27,14.177446878757825
411,55.0,54,56,2,1.0
412,42.666666666666664,41,44,3,1.5275252316519474
413,54.0,51,57,6,3.0
414,56.333333333333336,52,59,7,3.785938897200182
501,48.666666666666664,48,50,2,1.154700538379251
502,57.333333333333336,57,58,1,0.5773502691896263
503,58.666666666666664,58,59,1,0.5773502691896263
