,cluster_id,cluster_label,sleep_mean,sleep_std,sleep_count,poverty_rate_mean,poverty_rate_std,poverty_rate_count,pct_black_mean,pct_black_std,pct_black_count,pct_hispanic_mean,pct_hispanic_std,pct_hispanic_count,rent_burden_rate_mean,rent_burden_rate_std,rent_burden_rate_count,level
0,0,Street-Dominated Activity,43.39001895952134,2.92646973434772,5,0.29447347745931723,0.07327830283103064,5,0.3587931608685458,0.14757262102330654,5,0.5244519712920396,0.2066304753918308,5,0.5446204638146525,0.06911281085961177,5,CD
1,1,Weekend-Heavy Residential,41.35343622787556,3.732576250119365,20,0.2001142592618967,0.09125502506717606,20,0.3310339016632393,0.2417492564914899,20,0.37690751037884346,0.1970929479474218,20,0.5212092821088167,0.04583687802445756,20,CD
2,2,Helicopter Corridor,36.86368709643714,4.54694381067311,4,0.12345233003197362,0.03434420836801862,4,0.18886172214043667,0.200107022076165,4,0.18408466884658503,0.0466475087850909,4,0.45915653428196584,0.05180940219376953,4,CD
3,3,Airport-Adjacent (Outlier),36.61727121006607,,1,0.12407246991360295,,1,0.14178381453029384,,1,0.19650837901527038,,1,0.4563505756705855,,1,CD
4,4,Low-Intensity Baseline,38.24563937557498,3.4572965744270445,17,0.15430337949054196,0.056645898401615734,17,0.13193710423351304,0.15959676091089936,17,0.19127584384759244,0.09261058793545184,17,0.49587752715440986,0.050379290716856054,17,CD
5,5,Residential-Dominated Outlier,45.16530859367724,,1,0.1944885358951337,,1,0.6147531312679695,,1,0.2910324956376485,,1,0.5530177578081331,,1,CD
6,6,Evening Street Activity,42.30322628906806,4.262787157808369,3,0.28226725681283726,0.09287657316431402,3,0.2855392118427202,0.15592070194913685,3,0.6613496485448642,0.04021953065250977,3,0.5602915107607598,0.047290951828905164,3,CD
7,7,Nightlife & Entertainment,34.11867841915069,3.2181388505781667,7,0.08856029097016353,0.024696701949653135,7,0.07209988393547118,0.06402023665386547,7,0.11232789210512686,0.021666723124612073,7,0.3876393428069144,0.03233148055433018,7,CD
8,8,Park-Influenced Outlier,39.56835891665997,,1,0.17131265998260914,,1,0.03892054358570476,,1,0.4076410598474681,,1,0.507038026302374,,1,CD
0,-1,Low Volume,33.21462022218281,0.11843159792163983,2,0.06737813132859168,0.013527779620985541,2,0.04106377777305341,0.001818822023575532,2,0.1307979289480737,0.04049870684780175,2,0.39148569772838315,0.054701339479905485,2,NTA
1,0,Cluster_0,42.92277396629413,3.271586904980091,55,0.18870117163883732,0.08545602789846111,55,0.38805047547143867,0.2760794758827433,55,0.37408253265886376,0.23495950222888307,55,0.5343230759145958,0.06543982317310361,55,NTA
2,1,Cluster_1,35.107746945356496,3.3119060139228744,27,0.10399167179052264,0.06210772775373591,27,0.06988877985792187,0.07291970546563471,27,0.13575033229957323,0.0626926504643897,27,0.42651083961887015,0.07666547994136727,27,NTA
3,2,Cluster_2,43.74310270024586,,1,0.17648564621690097,,1,0.5415573414870979,,1,0.24860029337024564,,1,0.5138222694578345,,1,NTA
4,3,Cluster_3,37.33756428552196,,1,0.15459615948580832,,1,0.15223888634588978,,1,0.287891434879776,,1,0.4359313324906171,,1,NTA
5,4,Cluster_4,38.3921187851415,4.158425762181788,25,0.17067335456931215,0.08234896864498589,25,0.16788731965712494,0.2273246297188676,25,0.2661527418947028,0.1503873439800563,25,0.47889568842697977,0.066747399421247,25,NTA
6,5,Cluster_5,39.016026836060014,3.5895916734419013,53,0.15799692378231373,0.07985901196358655,53,0.17494108914184622,0.21196903248019025,53,0.20827219326600988,0.1271721474951979,53,0.5028130744504049,0.06852924837112287,53,NTA
7,6,Cluster_6,42.91302619333204,3.155458178734541,17,0.2898732035191974,0.08823355057544495,17,0.33199525715003825,0.1429411297946615,17,0.6202732933833552,0.12915856566351766,17,0.5493367756369328,0.04962246576726331,17,NTA
8,7,Cluster_7,33.29074974106003,2.524688383191568,12,0.08875036992367656,0.03598323408692004,12,0.06775179781993163,0.055311599585269024,12,0.16753995244988162,0.09837872145648024,12,0.42104035406684254,0.06288471432388967,12,NTA
9,8,Cluster_8,39.95014571347127,6.927404669738848,4,0.19034474792576414,0.131160965886063,4,0.19913127515819448,0.32952469549510816,4,0.39220443217895185,0.18006076930819978,4,0.5202529075395063,0.07048786819779422,4,NTA
