ntacode,2021,2022,2023,nta_name,transition_2021_2022,transition_2022_2023,n_unique_clusters,is_stable
BK0101,1,4,6,Greenpoint,1 -> 4,4 -> 6,3,False
BK0102,8,1,3,Williamsburg,8 -> 1,1 -> 3,3,False
BK0103,-1,0,8,South Williamsburg,-1 -> 0,0 -> 8,3,False
BK0104,1,1,3,East Williamsburg,1 -> 1,1 -> 3,2,False
BK0201,3,4,2,Brooklyn Heights,3 -> 4,4 -> 2,3,False
BK0202,3,0,8,Downtown Brooklyn-DUMBO-Boerum Hill,3 -> 0,0 -> 8,3,False
BK0203,3,4,8,Fort Greene,3 -> 4,4 -> 8,3,False
BK0204,3,4,8,Clinton Hill,3 -> 4,4 -> 8,3,False
BK0301,1,1,1,Bedford-Stuyvesant (West),1 -> 1,1 -> 1,1,True
BK0302,0,2,3,Bedford-Stuyvesant (East),0 -> 2,2 -> 3,3,False
BK0401,4,1,3,Bushwick (West),4 -> 1,1 -> 3,3,False
BK0402,4,2,3,Bushwick (East),4 -> 2,2 -> 3,3,False
BK0501,4,6,3,Cypress Hills,4 -> 6,6 -> 3,3,False
BK0502,4,6,3,East New York (North),4 -> 6,6 -> 3,3,False
BK0503,4,2,3,East New York-New Lots,4 -> 2,2 -> 3,3,False
BK0504,0,0,1,Spring Creek-Starrett City,0 -> 0,0 -> 1,2,False
BK0505,4,2,1,East New York-City Line,4 -> 2,2 -> 1,3,False
BK0601,3,4,2,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,3 -> 4,4 -> 2,3,False
BK0602,3,4,2,Park Slope,3 -> 4,4 -> 2,3,False
BK0701,1,4,8,Windsor Terrace-South Slope,1 -> 4,4 -> 8,3,False
BK0702,8,8,0,Sunset Park (West),8 -> 8,8 -> 0,2,False
BK0703,1,1,0,Sunset Park (Central),1 -> 1,1 -> 0,2,False
BK0801,3,4,2,Prospect Heights,3 -> 4,4 -> 2,3,False
BK0802,0,2,1,Crown Heights (North),0 -> 2,2 -> 1,3,False
BK0901,0,4,1,Crown Heights (South),0 -> 4,4 -> 1,3,False
BK0902,1,2,3,Prospect Lefferts Gardens-Wingate,1 -> 2,2 -> 3,3,False
BK1001,1,1,1,Bay Ridge,1 -> 1,1 -> 1,1,True
BK1002,1,4,1,Dyker Heights,1 -> 4,4 -> 1,2,False
BK1101,1,2,1,Bensonhurst,1 -> 2,2 -> 1,2,False
BK1102,0,2,1,Bath Beach,0 -> 2,2 -> 1,3,False
BK1103,1,0,1,Gravesend (West),1 -> 0,0 -> 1,2,False
BK1201,0,6,3,Sunset Park (East)-Borough Park (West),0 -> 6,6 -> 3,3,False
